# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 326 1 1 53 4455219 5 /openedx/staticfiles/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 53 4610350 5 /openedx/staticfiles/studio/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 2 1 53 4631482 5 /openedx/staticfiles/studio/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 53 4451479 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 53 4611240 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 6 1 53 4629629 5 /openedx/staticfiles/studio/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.68b329da9893.css
DUPTYPE_WITHIN_SAME_TREE -326 1 1 53 4442783 5 /openedx/staticfiles/dist/openassessment-lms.css
DUPTYPE_WITHIN_SAME_TREE -326 5 1 53 4443286 5 /openedx/staticfiles/xblock/resources/openassessment.xblock/static/dist/openassessment-lms.css
DUPTYPE_FIRST_OCCURRENCE 19985 8 2 53 4448254 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4611617 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4611637 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4443897 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4444012 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4444039 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4444050 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4444267 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627747 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627679 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627676 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4448259 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4448323 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4443877 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4448334 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014_Uni/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4448402 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627668 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/library_empty_problem/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627604 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_after_rename/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4627599 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/2014/policies/assets.99914b932bd3.json
DUPTYPE_WITHIN_SAME_TREE -19985 9 2 53 4612007 5 /openedx/staticfiles/studio/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_before_rename/policies/assets.json
DUPTYPE_WITHIN_SAME_TREE -19985 8 2 53 4448331 5 /openedx/staticfiles/xblock/resources/xmodule.discussion_block/tests/data/xml-course-root/course_info_updates/policies/assets.99914b932bd3.json
